label,TP,FP,FN,TN,support,precision,recall_TPR,F1,specificity_TNR,false_alarm_rate_FAR_FPR,false_negative_rate_FNR_miss_rate,false_discovery_rate_FDR,negative_predictive_value_NPV
alert,214,135,386,2865,600,0.6131805157593123,0.3566666666666667,0.45100105374077976,0.955,0.045,0.6433333333333333,0.3868194842406877,0.881267302368502
drowsy,826,7,74,2693,900,0.9915966386554622,0.9177777777777778,0.953260242354299,0.9974074074074074,0.0025925925925925925,0.08222222222222222,0.008403361344537815,0.9732562341886519
yawning,571,24,29,2976,600,0.9596638655462185,0.9516666666666667,0.9556485355648535,0.992,0.008,0.04833333333333333,0.040336134453781515,0.9903494176372712
distracted,806,391,94,2309,900,0.6733500417710944,0.8955555555555555,0.7687172150691464,0.8551851851851852,0.1448148148148148,0.10444444444444445,0.3266499582289056,0.9608822305451519
microsleep,600,26,0,2974,600,0.9584664536741214,1.0,0.9787928221859706,0.9913333333333333,0.008666666666666666,0.0,0.04153354632587859,1.0
