08-10-2026 11:58:52 RAM 2898/7620MB (lfb 5x4MB) SWAP 0/3810MB (cached 0MB) CPU [6%@729,0%@729,2%@729,2%@729,0%@729,0%@729] EMC_FREQ 2%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.812C soc2@45.406C soc0@45.562C gpu@45.656C tj@45.812C soc1@45.5C VDD_IN 3674mW/3725mW VDD_CPU_GPU_CV 484mW/521mW VDD_SOC 1090mW/1093mW
08-10-2026 11:58:53 RAM 2898/7620MB (lfb 5x4MB) SWAP 0/3810MB (cached 0MB) CPU [2%@1344,0%@729,0%@729,1%@729,0%@729,0%@729] EMC_FREQ 2%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.718C soc2@45.406C soc0@45.562C gpu@45.687C tj@45.718C soc1@45.406C VDD_IN 3634mW/3719mW VDD_CPU_GPU_CV 444mW/516mW VDD_SOC 1090mW/1093mW
08-10-2026 11:58:54 RAM 2898/7620MB (lfb 5x4MB) SWAP 0/3810MB (cached 0MB) CPU [2%@729,1%@729,3%@729,6%@729,0%@729,0%@729] EMC_FREQ 2%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.625C soc2@45.468C soc0@45.375C gpu@45.875C tj@45.875C soc1@45.343C VDD_IN 3674mW/3716mW VDD_CPU_GPU_CV 484mW/513mW VDD_SOC 1090mW/1092mW
08-10-2026 11:58:55 RAM 2897/7620MB (lfb 5x4MB) SWAP 0/3810MB (cached 0MB) CPU [2%@729,2%@729,4%@729,1%@729,1%@729,0%@729] EMC_FREQ 2%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.687C soc2@45.437C soc0@45.5C gpu@45.968C tj@45.968C soc1@45.593C VDD_IN 3674mW/3713mW VDD_CPU_GPU_CV 484mW/512mW VDD_SOC 1090mW/1092mW
08-10-2026 11:58:56 RAM 2899/7620MB (lfb 5x4MB) SWAP 0/3810MB (cached 0MB) CPU [1%@729,2%@729,3%@729,5%@729,0%@729,0%@729] EMC_FREQ 2%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.781C soc2@45.562C soc0@45.406C gpu@45.718C tj@45.781C soc1@45.468C VDD_IN 3674mW/3711mW VDD_CPU_GPU_CV 484mW/510mW VDD_SOC 1090mW/1092mW
08-10-2026 11:58:57 RAM 2899/7620MB (lfb 5x4MB) SWAP 0/3810MB (cached 0MB) CPU [2%@729,1%@729,1%@729,0%@729,0%@729,1%@729] EMC_FREQ 2%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.531C soc2@45.468C soc0@45.375C gpu@45.687C tj@45.687C soc1@45.531C VDD_IN 3674mW/3709mW VDD_CPU_GPU_CV 484mW/509mW VDD_SOC 1090mW/1092mW
08-10-2026 11:58:58 RAM 2902/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [4%@1344,2%@729,4%@729,2%@729,0%@729,0%@729] EMC_FREQ 2%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.812C soc2@45.468C soc0@45.5C gpu@45.812C tj@45.812C soc1@45.437C VDD_IN 3674mW/3707mW VDD_CPU_GPU_CV 484mW/507mW VDD_SOC 1090mW/1092mW
08-10-2026 11:58:59 RAM 2902/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1337,0%@729,7%@729,1%@729,0%@729,3%@729] EMC_FREQ 2%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.75C soc2@45.406C soc0@45.468C gpu@45.843C tj@45.843C soc1@45.406C VDD_IN 3674mW/3705mW VDD_CPU_GPU_CV 484mW/506mW VDD_SOC 1090mW/1092mW
08-10-2026 11:59:00 RAM 2902/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [5%@729,0%@729,1%@729,0%@729,1%@729,0%@729] EMC_FREQ 3%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.781C soc2@45.468C soc0@45.5C gpu@45.687C tj@45.781C soc1@45.468C VDD_IN 3715mW/3706mW VDD_CPU_GPU_CV 484mW/505mW VDD_SOC 1090mW/1092mW
08-10-2026 11:59:01 RAM 2902/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,2%@729,0%@729,0%@729,0%@729] EMC_FREQ 2%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.625C soc2@45.531C soc0@45.5C gpu@45.562C tj@45.656C soc1@45.562C VDD_IN 3674mW/3704mW VDD_CPU_GPU_CV 484mW/504mW VDD_SOC 1090mW/1092mW
08-10-2026 11:59:02 RAM 2902/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 2%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46C soc2@45.531C soc0@45.406C gpu@45.687C tj@46C soc1@45.5C VDD_IN 3640mW/3702mW VDD_CPU_GPU_CV 484mW/503mW VDD_SOC 1090mW/1092mW
08-10-2026 11:59:03 RAM 2902/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [3%@729,0%@729,0%@729,0%@729,1%@729,0%@729] EMC_FREQ 2%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.781C soc2@45.5C soc0@45.531C gpu@45.843C tj@45.843C soc1@45.5C VDD_IN 3674mW/3700mW VDD_CPU_GPU_CV 484mW/502mW VDD_SOC 1090mW/1092mW
08-10-2026 11:59:04 RAM 2902/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [1%@729,0%@729,5%@729,2%@729,1%@729,1%@729] EMC_FREQ 2%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.875C soc2@45.468C soc0@45.5C gpu@45.75C tj@45.875C soc1@45.375C VDD_IN 3715mW/3701mW VDD_CPU_GPU_CV 484mW/502mW VDD_SOC 1090mW/1091mW
08-10-2026 11:59:05 RAM 2902/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [2%@729,0%@729,5%@729,5%@729,0%@729,0%@729] EMC_FREQ 2%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.718C soc2@45.468C soc0@45.5C gpu@45.718C tj@45.718C soc1@45.343C VDD_IN 3674mW/3700mW VDD_CPU_GPU_CV 484mW/501mW VDD_SOC 1090mW/1091mW
08-10-2026 11:59:06 RAM 2903/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [1%@729,4%@729,2%@729,6%@729,0%@729,0%@729] EMC_FREQ 2%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.687C soc2@45.531C soc0@45.468C gpu@46.031C tj@46.031C soc1@45.593C VDD_IN 3674mW/3699mW VDD_CPU_GPU_CV 484mW/500mW VDD_SOC 1090mW/1091mW
08-10-2026 11:59:07 RAM 2903/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 2%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.593C soc2@45.562C soc0@45.375C gpu@45.937C tj@45.937C soc1@45.468C VDD_IN 3634mW/3697mW VDD_CPU_GPU_CV 484mW/500mW VDD_SOC 1090mW/1091mW
