trip_id,n_frames,n_finite_gt,n_critical_zone,n_danger_zone,mae_overall,mae_critical,rmse_critical,inv_ttc_mae,precision,recall,f1,false_positive_rate,accuracy,composite_score
T01-Sample,600,57,12,10,10.049,3.384,5.138,0.1102,0.636,0.7,0.667,0.007,0.988,56.3
T02-Sample,600,35,19,18,6.348,0.714,1.009,0.1805,0.789,0.833,0.811,0.007,0.988,77.8
T03-Sample,600,61,32,29,66.624,0.449,1.753,0.1846,0.848,0.966,0.903,0.009,0.99,82.4
T04-Sample,600,121,76,52,7.749,0.327,0.552,0.1004,0.889,0.769,0.825,0.009,0.972,86.1
T05-Sample,600,66,47,35,1.194,0.607,1.029,0.1528,0.345,0.543,0.422,0.064,0.913,68.6
T06-Sample,600,262,97,60,5.532,0.684,1.138,0.2798,0.87,0.667,0.755,0.011,0.957,70.4
